20.062447	20.062447	a
25.448942	25.448942	b
32.111380	32.111380	c
37.435621	37.435621	d
44.012414	44.012414	e
46.642417	46.642417	f
49.267068	49.267068	g
55.192606	55.192606	h
57.823899	57.823899	i
60.457965	60.457965	j
66.946438	66.946438	k
72.191246	72.191246	l
78.716328	78.716328	m
83.915670	83.915670	n
90.491472	90.491472	o
95.645415	95.645415	p
101.515640	101.515640	q
106.734609	106.734609	r
113.200778	113.200778	s
118.366219	118.366219	t
124.140094	124.140094	u
129.341359	129.341359	v
135.206093	135.206093	w
140.407219	140.407219	x
146.212319	146.212319	y
151.371291	158.595996	z
